id,handle,title,price,originalPrice,discount,category,sizes,stock,images,image_1,image_2,image_3,image_4,image_5,description,tags,sku
1,blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,Navy Blue Heavy Embroidered Lehenga Set with Golden Zari and Sequin Work,2912.0,7600.0,62,Lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631072_y_1.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631070_y_1.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631082_y.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631078_y.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631076_y.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631079_y.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631083_y.jpg?v=1760110747, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631081_y.jpg?v=1760110746, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631080_y.jpg?v=1760110746",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631072_y_1.jpg?v=1760110746,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631070_y_1.jpg?v=1760110746,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631082_y.jpg?v=1760110746,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631078_y.jpg?v=1760110746,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631076_y.jpg?v=1760110746,<ul> <li> <p><strong>Lehenga Details</strong><br>Lehenga Fabric: Premium quality soft net<br>Lehenga Work: Coding sequins work with cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches</p> </li> <li> <p><br><strong>Blouse Details</strong><br>Blouse Fabric: Premium quality soft net with lining<br>Blouse Work: Sequins coding work<br>Blouse Type: 1.3 meter unstitched<br>Blouse Size: Unstitched up to 44 inches (customization available for bigger sizes with extra charges) <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Premium quality soft net<br>Dupatta Work: Coding sequins work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 2.5 kg</p> </li> </ul>,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #festival, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #ModelGT, New Arrival",
2,blue-georgette-lehenga-with-delicate-mirror-work-and-designer-blouse-perfect-match-for-you,Royal blue lehenga with heavy golden zari and sequin embroidery,2678.0,5598.0,52,lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097174_y.jpg?v=1760110744, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097190_y.jpg?v=1760110744, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097189_y.jpg?v=1760110744, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097188_y.jpg?v=1760110744, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097187_y.jpg?v=1760110744",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097174_y.jpg?v=1760110744,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097190_y.jpg?v=1760110744,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097189_y.jpg?v=1760110744,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097188_y.jpg?v=1760110744,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6066402570299097187_y.jpg?v=1760110744,"<p><strong>Lehenga Details</strong><br>Lehenga Fabric: Fox Georgette<br>Lehenga Work: Embroidery with sequins and stone work, includes cancan and canvas patta<br>Lehenga Flare: 4 meter<br>Lehenga Type: Semi-stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Fox Georgette<br>Blouse Work: Sequins embroidery work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Soft butterfly net and fox georgette<br>Dupatta Work: Sequins embroidered work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.5 kg</p>","#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",GT-1621
3,royal-blue-premium-malai-silk-delicate-mirror-work-and-designer-blouse-perfect-fit-for-festival-and-every-event-copy,Deep navy blue ensemble with intricate silver zari and thread embroidery,3222.0,6300.0,49,lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709995_y.jpg?v=1760339899, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709997_y.jpg?v=1760339899, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710000_y.jpg?v=1760339899, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709999_y.jpg?v=1760339899, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710001_y.jpg?v=1760339899, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709998_y.jpg?v=1760339899",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709995_y.jpg?v=1760339899,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709997_y.jpg?v=1760339899,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710000_y.jpg?v=1760339899,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616709999_y.jpg?v=1760339899,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6273612992616710001_y.jpg?v=1760339899,<p><strong>Lehenga Details</strong><br>Lehenga Fabric: Faux Georgette<br>Lehenga Work: Heavy sequins embroidery work with cancan and canvas patta<br>Lehenga Flare: 4 meter<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Koti and Blouse Details</strong><br>Koti and Blouse Fabric: Faux Georgette<br>Koti and Blouse Work: Sequins embroidery work<br>Koti Type: Free size stitched<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Faux Georgette<br>Dupatta Work: Sequins embroidered work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 2 kg</p>,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",GT-1647 BLUE-1
4,bridal-red-embroidery-sequins-work-with-cancan-canvas-patta-embroidered-lehenga-choli,Bridal Lehenga – Red & Gold Heavy Embroidered Zari and Sequins Work Wedding Wear,2757.0,5598.0,51,lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667100_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667102_y.jpg?v=1760110743, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667104_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667103_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667101_y.jpg?v=1760110742",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667100_y.jpg?v=1760110742,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667102_y.jpg?v=1760110743,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667104_y.jpg?v=1760110742,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667103_y.jpg?v=1760110742,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6332189186823667101_y.jpg?v=1760110742,<p><strong>Lehenga Details</strong><br>Lehenga Fabric: Faux Georgette<br>Lehenga Work: Sequins embroidery work with cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Fox Georgette with latkan<br>Blouse Work: Sequins embroidery work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Soft butterfly net<br>Dupatta Work: Sequins embroidered work with fancy latkan<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.5 kg</p>,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, #WeddingLehenga",GT-1618
5,butterfly-net-lehenga-with-sequins-embroidery-blouse-semi-stitched-designer-partywear-set,Butterfly Net Lehenga Choli with Sequins Embroidery & Blouse – Semi-Stitched Sider Lehenga,2599.0,6199.0,58,Lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543495_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543491_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543492_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543497_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543496_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543490_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543493_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543494_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543489_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543502_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543501_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543500_y.jpg?v=1760110742, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543499_y.jpg?v=1760110741",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543495_y.jpg?v=1760110741,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543491_y.jpg?v=1760110741,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543492_y.jpg?v=1760110742,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543497_y.jpg?v=1760110742,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6125111998686543496_y.jpg?v=1760110741,<hr> <p><strong>Lehenga Details</strong><br>Lehenga Fabric: Butterfly Net<br>Lehenga Work: Sequins embroidered work with cancan and canvas patta<br>Lehenga Flare: 3.5 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Butterfly Net with lining<br>Blouse Work: Front and back sequins embroidery work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Butterfly Net<br>Dupatta Work: Sequins embroidery work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.4 kg</p>,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #FestiveFashion, #HaldiOutfit, #IndianWear, #LatestLehengaDesigns, #WeddingLehenga, Bridal Lehenga, Designer Lehenga, Traditional Wear",GT-1541 BLUE-1
6,butterfly-net-mirror-work-lehenga-with-sequins-embroidery-for-wedding-festive-looks,Pastel Multi-Color Mirror Work Embroidered Fabric – Grey Base Net Material,3649.0,7800.0,53,Lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618238_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618235_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618234_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618233_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618232_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618231_y.jpg?v=1760110741, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618230_y.jpg?v=1760110741",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618238_y.jpg?v=1760110741,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618235_y.jpg?v=1760110741,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618234_y.jpg?v=1760110741,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618233_y.jpg?v=1760110740,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6136641580694618232_y.jpg?v=1760110741,"<ul> <li> <p><strong>Lehenga Details</strong><br>Lehenga Fabric: Butterfly Net<br>Lehenga Work: Real mirror embroidery with sequins work, includes cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Butterfly Net with lining inner<br>Blouse Work: Real mirror embroidered sequins work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Butterfly Net<br>Dupatta Work: Real mirror embroidered sequins work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 2 kg</p> </li> </ul>","#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #festival, #FestiveFashion, #FloralLehenga, #LatestLehengaDesigns, #LehengaLove, #LehengaTrends2025, #Marrigeoutfeet, #MehendiLook, #MinimalLehenga, #MirrorWorkLehenga",GT-1724
7,buy-exquisite-butterfly-net-lehenga-with-real-mirror-embroidery-sequins-work,Net Mirror Work Embroidered Fabric with Silver Sequins and Pastel Threadwork,3067.0,6100.0,50,Lehenga,XS,-1,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599165_y.jpg?v=1760110739, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599166_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599164_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599163_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599170_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599168_y.jpg?v=1760110740, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599167_y.jpg?v=1760110740",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599165_y.jpg?v=1760110739,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599166_y.jpg?v=1760110740,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599164_y.jpg?v=1760110740,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599163_y.jpg?v=1760110740,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6316562811605599170_y.jpg?v=1760110740,"<p>Lehenga Fabric: Soft Butterfly Net<br>Lehenga Work: Real mirror embroidery with sequins work, includes cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Soft Butterfly Net with lining inner<br>Blouse Work: Real mirror embroidered sequins work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Soft Butterfly Net<br>Dupatta Work: Real mirror embroidered sequins work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.5 kg</p>",#AffordableLehengas,GT-1709
8,buy-graceful-faux-georgette-lehenga-with-embroidery-amp-sequins-work-online,Hot Pink Multicolor Embroidered Fabric with Sequin and Mirror Work,2833.0,5799.0,51,Lehenga,XS,-20,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611696_y_1.jpg?v=1764336813, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611695_y.jpg?v=1764336813, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611698_y_1.jpg?v=1764336813, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611697_y_1.jpg?v=1764336813, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611699_y_1.jpg?v=1764336813, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611694_y_1.jpg?v=1763101264, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611707_y.jpg?v=1763101264, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611706_y.jpg?v=1763101264, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611705_y.jpg?v=1763101264, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611704_y.jpg?v=1763101264",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611696_y_1.jpg?v=1764336813,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611695_y.jpg?v=1764336813,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611698_y_1.jpg?v=1764336813,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611697_y_1.jpg?v=1764336813,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6172278620861611699_y_1.jpg?v=1764336813,"<p>Lehenga Fabric: Faux Georgette<br>Lehenga Work: Embroidery with sequins work, includes cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br> <p><strong>Blouse Details</strong><br>Blouse Fabric: Faux Georgette<br>Blouse Work: Embroidery with sequins work<br>Blouse Type: 1.3 meter unstitched</p> <p>Blouse Size: Unstitched up to 44 inches (customization available for bigger sizes)</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Faux Georgette<br>Dupatta Work: Embroidery with sequins work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.5 kg</p>","#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #DesignerLehenga, Bridal Lehenga, Designer Lehenga",GT-1632
9,chic-faux-georgette-lehenga-with-embroidery-sequins-cut-work,Cream Embroidered Fabric Set with Pink Floral and Mirror Work,3377.0,6500.0,48,Lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221024_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221029_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221028_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221026_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221027_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221030_y.jpg?v=1760110738, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221025_y.jpg?v=1760110738",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221024_y.jpg?v=1760110738,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221029_y.jpg?v=1760110738,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221028_y.jpg?v=1760110738,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221026_y.jpg?v=1760110738,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6262303965769221027_y.jpg?v=1760110738,"<p><strong>Lehenga Details</strong><br>Lehenga Fabric: Faux Georgette<br>Lehenga Work: Embroidery with sequins cut work, includes cancan and canvas patta<br>Lehenga Flare: 4 meter flared<br>Lehenga Type: Semi stitched<br>Lehenga Length: 42 inches<br>Lehenga Size: Up to 44 inches</p> <p><strong>Blouse Details</strong><br>Blouse Fabric: Faux Georgette<br>Blouse Work: Embroidered sequins work<br>Blouse Type: 1.3 meter unstitched</p> <p><strong>Dupatta Details</strong><br>Dupatta Fabric: Faux Georgette<br>Dupatta Work: Embroidered sequins cut work<br>Dupatta Size: 2.3 meter</p> <p>Product Weight: Under 1.5 kg</p>","#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, Ethnic Wear, Festive Wear, Indian Wear, Latest Lehenga 2025",GT-1739
10,crushed-real-mirror-work-fox-georgette-lehenga-choli-with-dupatta-festive-wedding-wear,"Multicolor Mirror Work Lehenga Fabric Set – Pink, Peach & Teal Embroidered Design",2449.0,6950.0,65,Lehenga,XS,0,"https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097052_y.jpg?v=1760110737, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097055_y.jpg?v=1760110737, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097054_y.jpg?v=1760110737, https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097053_y.jpg?v=1760110737",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097052_y.jpg?v=1760110737,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097055_y.jpg?v=1760110737,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097054_y.jpg?v=1760110737,https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6314053846330097053_y.jpg?v=1760110737,,"<p><strong>✨Crushed Real Mirror Work Fox Georgette Lehenga – Glamorous Festive Wear</strong></p> <p>Make a stunning statement with this elegant Fox Georgette Lehenga featuring intricate <em>Crushed Real Mirror Embroidery Work</em>. Perfect for weddings, sangeet, or festive functions, this ensemble brings together tradition and modern glamour.</p> <hr> <p><strong>👗 Lehenga Details</strong><br>• Fabric: Premium Fox Georgette<br>• Work: Crushed Real Mirror Embroidery with Cancan &amp; Canvas Patta<br>• Type: Semi-stitched</p> <hr> <p><strong>👚 Blouse Details</strong><br>• Fabric: Matching Fox Georgette<br>• Work: Real Mirror Embroidery<br>• Type: Unstitched</p> <hr> <p><strong>🧣 Dupatta Details</strong><br>• Fabric: Soft Butterfly Net<br>• Work: Real Mirror Embroidered Work</p> <hr> <p><strong>💃 Complete your look with timeless elega</strong></p>","#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #PastelLehenga, #ReceptionWear, #SustainableFashion, Indian Wear",GT-1581 LIGHT FIROZI AND MULTI OLUR-1
