Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Size (product.metafields.shopify.size),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,Navy Blue Heavy Embroidered Lehenga Set with Golden Zari and Sequin Work,"<ul>
<li>
<p data-start=""131"" data-end=""382""><strong data-start=""131"" data-end=""150"">Lehenga Details</strong><br data-start=""150"" data-end=""153"">Lehenga Fabric: Premium quality soft net<br data-start=""193"" data-end=""196"">Lehenga Work: Coding sequins work with cancan and canvas patta<br data-start=""258"" data-end=""261"">Lehenga Flare: 4 meter flared<br data-start=""290"" data-end=""293"">Lehenga Type: Semi stitched<br data-start=""320"" data-end=""323"">Lehenga Length: 42 inches</p>
</li>
<li>
<p data-start=""131"" data-end=""382""><br data-start=""348"" data-end=""351""><strong data-start=""384"" data-end=""402"">Blouse Details</strong><br data-start=""402"" data-end=""405"">Blouse Fabric: Premium quality soft net with lining<br data-start=""456"" data-end=""459"">Blouse Work: Sequins coding work<br data-start=""491"" data-end=""494"">Blouse Type: 1.3 meter unstitched<br data-start=""527"" data-end=""530"">Blouse Size: Unstitched up to 44 inches (customization available for bigger sizes with extra charges)<br></p>
<p data-start=""616"" data-end=""742""><strong data-start=""616"" data-end=""635"">Dupatta Details</strong><br data-start=""635"" data-end=""638"">Dupatta Fabric: Premium quality soft net<br data-start=""678"" data-end=""681"">Dupatta Work: Coding sequins work<br data-start=""714"" data-end=""717"">Dupatta Size: 2.3 meter</p>
<p data-start=""744"" data-end=""774"">Product Weight: Under 2.5 kg</p>
</li>
</ul>",Gagan Trends,Uncategorized,Lehenga,"#AffordableLehengas, #BridalLehenga, #BuyLehengaOnline, #CustomLehenga, #DesignerLehenga, #EthnicFashion, #festival, #FestiveFashion, #FloralLehenga, #HaldiOutfit, #ModelGT, New Arrival",true,Size,XS,,STICHING,SEMI-STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631072_y_1.jpg?v=1760110746,1,"",false,,,,,,,,,,,,,,,,,,,,,kg,,,active
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,XS,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631070_y_1.jpg?v=1760110746,2,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,S,,,SEMI-STICHING,,,,,GT-1764 Blue-1,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631082_y.jpg?v=1760110746,3,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,S,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631078_y.jpg?v=1760110746,4,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,M,,,SEMI-STICHING,,,,,GT-1764 Blue-2,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631076_y.jpg?v=1760110746,5,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,M,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631079_y.jpg?v=1760110746,6,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,L,,,SEMI-STICHING,,,,,GT-1764 Blue-3,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631083_y.jpg?v=1760110747,7,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,L,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631081_y.jpg?v=1760110746,8,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,XL,,,SEMI-STICHING,,,,,GT-1764 Blue-4,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0700/9032/6060/files/photo_6260548969117631080_y.jpg?v=1760110746,9,"",,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,XL,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,2XL,,,SEMI-STICHING,,,,,GT-1764 Blue-5,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
blue-colour-soft-net-lehenga-choli-with-coding-sequins-dupatta-glamorous-ethnic-ensemble,,,,,,,,,2XL,,,BLOUSE & LEHENGA STICHING,,,,,,1500.0,,0,deny,manual,2912.00,7600.00,true,true,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,kg,,,
